tipo_propuesta_formativa_desc,propuesta_formativa_desc,anio_academico,actividad_desc,periodo_lectivo,catedra_desc,comision_desc,condicion_regularidad_desc,resultado_desc,cantidad_alumnos,total,porcentaje
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Sin Actuación,4,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Regular,Regular,10,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Libre,5,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Sin Actuación,7,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Regular,Regular,30,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,17,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,6,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,30,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,4,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Sin Actuación,15,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,9,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Libre,3,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Sin Actuación,11,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Regular,Regular,8,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Libre,Libre,7,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Regular,Regular,22,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Sin Actuación,Sin Actuación,8,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Libre,23,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Sin Actuación,7,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Regular,Regular,29,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,18,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,19,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,11,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,74,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,77,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,132,,
