"Tipo Propuesta Formativa","Propuesta Formativa","Año","Período","Resultado","Finales"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","216.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Turno Especial de Mayo","Reprobado","19.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Reprobado","17.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Nivelación","Reprobado","3.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Julio - Agosto","Aprobado","893.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Turno Especial de Mayo","Aprobado","58.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Aprobado","75.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Aprobado","656.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Julio - Agosto","Ausente","602.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Turno Especial de Mayo","Ausente","49.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Ausente","56.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Ausente","555.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Julio - Agosto","Reprobado","264.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Turno Especial de Mayo","Reprobado","7.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Reprobado","11.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Reprobado","212.0"
"Grado","Licenciatura en Economía","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","VACIO/NULO","17.0"
"Grado","Licenciatura en Gestión Universitaria","2020","2020 - 2 - 11 - Febrero - Marzo","Aprobado","7.0"
"Grado","Licenciatura en Gestión Universitaria","2020","2020 - 2 - 11- Julio - Agosto","Aprobado","116.0"
"Grado","Licenciatura en Gestión Universitaria","2020","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","176.0"
"Grado","Licenciatura en Gestión Universitaria","2020","2020 - 2 - 11 - Febrero - Marzo","Ausente","9.0"
"Grado","Licenciatura en Gestión Universitaria","2020","2020 - 2 - 11- Julio - Agosto","Ausente","3.0"
"Grado","Licenciatura en Gestión Universitaria","2020","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","30.0"
"Grado","Licenciatura en Gestión Universitaria","2020","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","6.0"
"Grado","Licenciatura en Gestión Universitaria","2021","2021 - 2 - 11 - Julio - Agosto","Aprobado","195.0"
"Grado","Licenciatura en Gestión Universitaria","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Aprobado","342.0"
"Grado","Licenciatura en Gestión Universitaria","2021","2021 - 2 - 11 - Julio - Agosto","Ausente","34.0"
"Grado","Licenciatura en Gestión Universitaria","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Ausente","80.0"
"Grado","Licenciatura en Gestión Universitaria","2021","2021 - 2 - 11 - Julio - Agosto","Reprobado","27.0"
"Grado","Licenciatura en Gestión Universitaria","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Reprobado","36.0"
"Grado","Licenciatura en Gestión Universitaria","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","VACIO/NULO","14.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - Mayo","Aprobado","22.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - Julio - Agosto","Aprobado","382.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","243.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - Septiembre","Aprobado","22.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - 11 - Febrero - Marzo","Aprobado","84.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - Mayo","Ausente","11.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - Julio - Agosto","Ausente","125.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","74.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - Septiembre","Ausente","20.0"
