"Año","Propuesta Formativa","Período","Resultado","Finales"
"2020","Contador Público","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","6665.0"
"2020","Contador Público","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","757.0"
"2020","Contador Público","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","756.0"
"2020","Contador Público","2020 - 2 - 11 - Nivelación","Aprobado","18.0"
"2020","Contador Público","2020 - 2 - 11 - Febrero - Marzo","Ausente","6586.0"
"2020","Contador Público","2020 - 2 - 11- Julio - Agosto","Ausente","9057.0"
"2020","Contador Público","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","7420.0"
"2020","Contador Público","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","1934.0"
"2020","Contador Público","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","1147.0"
"2020","Contador Público","2020 - 2 - 11 - Febrero - Marzo","Reprobado","3423.0"
"2020","Contador Público","2020 - 2 - 11- Julio - Agosto","Reprobado","4485.0"
"2020","Contador Público","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","3430.0"
"2020","Contador Público","2020 - 2 - 11 - Turno Especial de Mayo","Reprobado","650.0"
"2020","Contador Público","2020 - 2 - 11 - Turno Especial de Septiembre","Reprobado","550.0"
"2020","Contador Público","2020 - 2 - 11 - Nivelación","Reprobado","9.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Febrero - Marzo","Aprobado","1130.0"
"2020","Licenciatura en Administración","2020 - 2 - 11- Julio - Agosto","Aprobado","1837.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","1782.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","170.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","159.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Nivelación","Aprobado","4.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Febrero - Marzo","Ausente","1487.0"
"2020","Licenciatura en Administración","2020 - 2 - 11- Julio - Agosto","Ausente","2099.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","1834.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","326.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","245.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Nivelación","Ausente","1.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Febrero - Marzo","Reprobado","737.0"
"2020","Licenciatura en Administración","2020 - 2 - 11- Julio - Agosto","Reprobado","1004.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","792.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Turno Especial de Mayo","Reprobado","137.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Turno Especial de Septiembre","Reprobado","86.0"
"2020","Licenciatura en Administración","2020 - 2 - 11 - Nivelación","Reprobado","5.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Febrero - Marzo","Aprobado","498.0"
"2020","Licenciatura en Economía","2020 - 2 - 11- Julio - Agosto","Aprobado","727.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","734.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","68.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","77.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Nivelación","Aprobado","4.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Febrero - Marzo","Ausente","414.0"
"2020","Licenciatura en Economía","2020 - 2 - 11- Julio - Agosto","Ausente","602.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","459.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","73.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","64.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Febrero - Marzo","Reprobado","212.0"
"2020","Licenciatura en Economía","2020 - 2 - 11- Julio - Agosto","Reprobado","286.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","216.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Turno Especial de Mayo","Reprobado","19.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Turno Especial de Septiembre","Reprobado","17.0"
"2020","Licenciatura en Economía","2020 - 2 - 11 - Nivelación","Reprobado","3.0"
"2020","Licenciatura en Gestión Universitaria","2020 - 2 - 11 - Febrero - Marzo","Aprobado","7.0"
"2020","Licenciatura en Gestión Universitaria","2020 - 2 - 11- Julio - Agosto","Aprobado","116.0"
